Name,RA,Dec,Alt Name,Type,Magnitude,Info,Catalog
NGC   6344,259.3,42.45,,Galaxy,,,NGC
NGC   6345,258.825,57.35,MCG 10-24-115,Galaxy,15,,NGC
NGC   6346,258.825,57.31666667,MCG 10-24-114,Galaxy,15,,NGC
NGC   6347,259.975,16.66666667,IC 1253,Galaxy,14,,NGC
NGC   6348,259.6,41.65,MCG 7-35-63,Galaxy,15,,NGC
NGC   6349,259.775,36.05,MCG 6-38-16,Galaxy,15,,NGC
NGC   6350,259.675,41.68333333,UGC 10800,Galaxy,14,,NGC
NGC   6351,259.8,36.03333333,MCG 6-38-17,Galaxy,16,,NGC
NGC   6352,261.375,-48.41666667,Dunlop 417,Globular Cluster,8.2,7.1,NGC
NGC   6353,260.3,15.7,,,,,NGC
NGC   6354,261.15,-38.53333333,ESO 333-**8,Asterism,,,NGC
NGC   6355,261,-26.35,GCL 63,Globular Cluster,9.6,5,NGC
NGC   6356,260.9,-17.81666667,GCL 62,Globular Cluster,8.4,7.2,NGC
NGC   6357,261.15,-34.16666667,ESO 392-SC10,Nebula,,50,NGC
NGC   6358,259.75,52.61666667,UGC 10810,Galaxy,15,,NGC
NGC   6359,259.475,61.78333333,UGC 10804,Galaxy,12.6,1.2,NGC
NGC   6360,261.35,-30,ESO 454-**20,,,,NGC
NGC   6361,259.65,60.61666667,UGC 10815,Galaxy,14,2.4,NGC
NGC   6362,262.975,-67.05,Dunlop 225,Globular Cluster,8.3,10.7,NGC
NGC   6363,260.675,41.13333333,UGC 10827,Galaxy,14,,NGC
NGC   6364,261.125,29.4,UGC 10835,Galaxy,14,,NGC
NGC   6365,260.675,62.18333333,UGC 10833,Galaxy,14,,NGC
NGC   6366,261.925,-5.083333333,GCL 65,Globular Cluster,10,8.3,NGC
NGC   6367,261.3,37.76666667,MCG 6-38-20,Galaxy,15,,NGC
NGC   6368,261.775,11.55,UGC 10856,Galaxy,13,4,NGC
NGC   6369,262.325,-23.76666667,PK 2+5.1;H IV 11,Planetary Nebula,13,1.1,NGC
NGC   6370,260.825,57,UGC 10836,Galaxy,14,,NGC
NGC   6371,261.8,26.5,MCG 4-41-12,Galaxy,15,,NGC
NGC   6372,261.875,26.46666667,UGC 10861,Galaxy,14,1.9,NGC
NGC   6373,261.075,59.01666667,UGC 10850,Galaxy,14,,NGC
NGC   6374,263.075,-32.6,NGC 6383,Open Cluster,9,3,NGC
NGC   6375,262.325,16.2,UGC 10875,Galaxy,14,,NGC
NGC   6376,261.35,58.83333333,UGC 10855,Galaxy,14,,NGC
NGC   6377,261.35,58.83333333,UGC 10855,Galaxy,14,,NGC
NGC   6378,262.65,6.283333333,UGC 10884,Galaxy,15,,NGC
NGC   6379,262.65,16.28333333,IC 4636,Galaxy,15,1.3,NGC
NGC   6380,263.85,-39.06666667,GCL 68,Globular Cluster,,3.9,NGC
NGC   6381,261.825,60.01666667,UGC 10871,Galaxy,14,1.5,NGC
NGC   6382,261.95,56.86666667,MCG 9-29-1,Galaxy,15,,NGC
NGC   6383,263.7,-32.56666667,NGC 6374,Cluster Nebulosity,5.5,80,NGC
NGC   6384,263.1,7.066666667,UGC 10891,Galaxy,10.6,6,NGC
NGC   6385,262,57.55,UGC 10877,Galaxy,14,,NGC
NGC   6386,262.225,52.73333333,MCG 9-29-4,Galaxy,15,,NGC
NGC   6387,262.1,57.56666667,ZWG 300. 37,Galaxy,15,,NGC
NGC   6388,264.075,-44.73333333,GCL 70,Globular Cluster,6.9,8.7,NGC
NGC   6389,263.175,16.4,UGC 10893,Galaxy,14,3.1,NGC
NGC   6390,262.125,60.1,UGC 10881,Galaxy,14,,NGC
NGC   6391,262.225,58.86666667,MCG 10-25-49,Galaxy,15,,NGC
NGC   6392,265.875,-69.78333333,ESO 70-12,Galaxy,,1.5,NGC
NGC   6393,262.575,59.65,MCG 10-25-54,Galaxy,15,,NGC
NGC   6394,262.525,59.53333333,UGC 10889,Galaxy,16,,NGC
NGC   6395,261.6,71.1,UGC 10876,Galaxy,13,2.6,NGC
NGC   6396,264.525,-35,OCL 1018,Open Cluster,8.5,3,NGC
NGC   6397,265.175,-53.66666667,Lac III-11,Globular Cluster,5.7,25.7,NGC
NGC   6398,265.675,-61.68333333,ESO 139-18,Galaxy,,,NGC
NGC   6399,262.95,59.63333333,UGC 10896,Galaxy,15,,NGC
NGC   6400,265.2,-36.95,OCL 1014,Open Cluster,9,8,NGC
NGC   6401,264.65,-23.91666667,GCL 73,Globular Cluster,9.5,5.6,NGC
NGC   6402,264.4,-3.25,M 14,Globular Cluster,7.6,11.7,NGC
NGC   6403,265.8,-61.68333333,ESO 139-19,Galaxy,,,NGC
NGC   6404,264.9,-33.25,OCL 1024,Open Cluster,11,5,NGC
NGC   6405,265.025,-32.21666667,M 6,Open Cluster,4.2,15,NGC
NGC   6406,264.575,18.83333333,,,,,NGC
NGC   6407,266.25,-60.73333333,ESO 139-22,Galaxy,,1.9,NGC
NGC   6408,264.7,18.86666667,UGC 10930,Galaxy,14,,NGC
NGC   6409,264.15,50.76666667,ZWG 253. 20,Galaxy,15,,NGC
NGC   6410,263.8,60.81666667,,Star,,,NGC
NGC   6411,263.9,60.8,UGC 10916,Galaxy,13,,NGC
NGC   6412,262.4,75.7,UGC 10897,Galaxy,11.8,2.3,NGC
NGC   6413,265.175,12.61666667,,,,,NGC
NGC   6414,262.65,74.38333333,UGC 10906,Galaxy,15,,NGC
NGC   6415,266.1,-35.01666667,ESO 393-?18,,,,NGC
NGC   6416,266.1,-32.35,OCL 1031,Open Cluster,5.7,18,NGC
NGC   6417,265.425,23.66666667,UGC 10945,Galaxy,14,,NGC
NGC   6418,264.525,58.71666667,MCG 10-25-74,Galaxy,14,,NGC
NGC   6419,263.975,68.13333333,UGC 10924,Galaxy,15,,NGC
NGC   6420,264.025,68.01666667,MCG 11-21-13,Galaxy,15,,NGC
NGC   6421,266.45,-33.7,ESO 393-?22,,,,NGC
NGC   6422,264.075,68.03333333,MCG 11-21-15,Galaxy,15,,NGC
NGC   6423,264.175,68.15,MCG 11-21-16,Galaxy,15,,NGC
NGC   6424,264.05,69.98333333,UGC 10932,Galaxy,15,,NGC
NGC   6425,266.725,-31.53333333,OCL 1033,Open Cluster,7.2,8,NGC
